bodyname; position x; position y; position z
sun;0.0109245;-0.0058229;-0.000246302
jupiter;-4.41387;3.04951;0.086085
saturn;-0.473685;9.02322;-0.137861
uranus;17.3984;-9.92114;-0.262527
neptune;19.9678;-22.4952;0.00327805
sun;0.00741315;0.0030098;-0.000266704
jupiter;1.42318;-5.00495;-0.0111597
saturn;-8.74603;3.28576;0.291112
uranus;19.7822;-3.51933;-0.269747
neptune;23.8327;-18.2562;-0.172828
sun;0.00816832;-0.00446762;-0.000281165
jupiter;0.132903;5.11464;-0.0243316
saturn;-7.61738;-6.28233;0.412414
uranus;19.7763;3.30762;-0.244398
neptune;26.8295;-13.3522;-0.342642
sun;0.00916143;0.00494564;-0.000311231
jupiter;-3.43827;-4.19648;0.0942764
saturn;0.840658;-10.0647;0.141395
uranus;17.367;9.73031;-0.189378
neptune;28.8439;-7.95925;-0.499913
sun;-0.000404505;-0.00316523;-5.65653e-07
jupiter;4.43549;2.19019;-0.108356
saturn;8.52983;-4.84395;-0.255494
uranus;12.8041;14.9411;-0.11091
neptune;29.7977;-2.27377;-0.6388
sun;0.00950584;-0.00443762;-0.000177342
jupiter;-5.45875;0.157093;0.1215
saturn;7.88244;4.85519;-0.398178
uranus;6.60187;18.2285;-0.0183005
neptune;29.6518;3.49545;-0.754112
sun;0.00346653;-0.00287205;-7.22177e-05
jupiter;4.03069;-3.0428;-0.0775341
saturn;-1.37998;8.92152;-0.0999097
uranus;-0.477607;19.0674;0.0766045
neptune;28.4089;9.13523;-0.841527
sun;0.0127756;-0.00827401;-0.000312831
jupiter;-2.97601;4.35249;0.0484295
saturn;-9.05816;2.44487;0.318354
uranus;-7.48094;17.2235;0.160574
neptune;26.1139;14.4365;-0.897774
sun;0.0102826;0.00354984;-0.0003239
jupiter;-0.514014;-5.27929;0.0334934
saturn;-7.0723;-6.93641;0.401897
uranus;-13.3758;12.8477;0.220818
neptune;22.8517;19.2028;-0.920768
sun;0.00565544;-0.00492064;-0.000145508
jupiter;2.1088;4.56269;-0.0662817
saturn;1.68153;-9.94128;0.105081
uranus;-17.2261;6.51645;0.247325
neptune;18.7441;23.2584;-0.909695
sun;0.0103914;0.00056839;-0.000210628
jupiter;-4.69732;-2.79758;0.116772
saturn;8.88973;-4.01429;-0.284704
uranus;-18.3938;-0.826979;0.235317
neptune;13.9447;26.4554;-0.865044
sun;0.00183029;-0.00480007;3.49482e-05
jupiter;4.95299;0.148449;-0.111329
saturn;7.3035;5.6265;-0.388245
uranus;-16.695;-8.04384;0.186628
neptune;8.6325;28.6791;-0.788573
sun;0.0142128;-0.00725893;-0.000266984
jupiter;-5.02275;2.00189;0.103853
saturn;-2.32842;8.74107;-0.0579521
uranus;-12.4397;-14.0359;0.109337
neptune;3.00426;29.8521;-0.68322
sun;0.0089916;0.00112674;-0.000248526
jupiter;2.56526;-4.457;-0.0386748
saturn;-9.30509;1.56398;0.344311
uranus;-6.3398;-17.9598;0.015783
neptune;-2.73338;29.9372;-0.552969
sun;0.0116978;-0.00523289;-0.000305608
jupiter;-1.13322;5.0517;0.00406417
saturn;-6.473;-7.55516;0.388808
uranus;0.664884;-19.3492;-0.0801316
neptune;-8.37189;28.9374;-0.402683
sun;0.0103173;0.00487851;-0.000285685
jupiter;-2.39987;-4.81881;0.0737962
saturn;2.4906;-9.77664;0.0695529
uranus;7.58827;-18.1314;-0.165341
neptune;-13.7087;26.8953;-0.237895
sun;0.00255757;-0.00473863;-2.04235e-05
jupiter;3.71775;3.29441;-0.0968664
saturn;9.16625;-3.23515;-0.309794
uranus;13.5392;-14.5727;-0.229281
neptune;-18.5548;23.8903;-0.0645932
sun;0.0119686;-0.00335639;-0.000220335
jupiter;-5.3738;-1.0347;0.124439
saturn;6.71312;6.26165;-0.375858
uranus;17.8086;-9.19639;-0.264739
neptune;-22.7407;20.0353;0.111008
sun;0.00532411;-0.00322354;-0.000120921
jupiter;4.63577;-1.88658;-0.0956579
saturn;-3.18649;8.47198;-0.0189615
uranus;19.9117;-2.69857;-0.267999
neptune;-26.1222;15.4715;0.282683
sun;0.0154434;-0.00626462;-0.00040125
jupiter;-3.94006;3.58906;0.0728714
saturn;-9.45155;0.700384;0.365164
uranus;19.6093;4.1249;-0.238896
neptune;-28.5845;10.3633;0.444411
sun;0.0101449;0.00463919;-0.000349056
jupiter;0.726902;-5.19234;0.00559389
saturn;-5.83035;-8.09133;0.372065
uranus;16.9188;10.4431;-0.180731
neptune;-30.0456;4.89188;0.590577
sun;0.00761107;-0.00461648;-0.000217294
jupiter;0.890683;5.00091;-0.0410761
saturn;3.29266;-9.50783;0.032104
uranus;12.1224;15.4555;-0.100114
neptune;-30.4585;-0.750354;0.71614
sun;0.0107467;0.00184104;-0.000260641
jupiter;-3.95748;-3.73987;0.104151
saturn;9.37063;-2.35148;-0.3337
uranus;5.76613;18.4676;-0.0066797
neptune;-29.8116;-6.36662;0.816787
sun;0.00364215;-0.00550857;-5.53756e-05
jupiter;4.72902;1.45257;-0.111727
saturn;5.99583;6.90845;-0.358127
uranus;-1.35991;18.9845;0.0875179
neptune;-28.1293;-11.7619;0.889066
sun;0.0163325;-0.00492782;-0.0003879
jupiter;-5.37339;0.852733;0.116222
saturn;-4.07575;8.11037;0.0237763
uranus;-8.2836;16.8148;0.169164
neptune;-25.4706;-16.7492;0.930487
sun;0.00943589;0.00216414;-0.00032195
jupiter;3.55166;-3.63498;-0.0639562
saturn;-9.52903;-0.203868;0.384574
uranus;-13.9737;12.16;0.225657
neptune;-21.9274;-21.1551;0.939599
sun;0.0137343;-0.00291501;-0.000404405
jupiter;-2.33593;4.69242;0.0321351
saturn;-5.13549;-8.59307;0.352972
uranus;-17.5207;5.64758;0.247567
neptune;-17.6216;-24.8254;0.916034
sun;0.00983653;0.00715846;-0.000315231
jupiter;-1.23546;-5.18524;0.0494457
saturn;4.06125;-9.20587;-0.00420993
uranus;-18.3362;-1.74315;0.230871
neptune;-12.7012;-27.6302;0.860524
sun;0.0041129;-0.00357347;-8.60011e-05
jupiter;2.74709;4.18198;-0.0790075
saturn;9.50309;-1.53207;-0.353559
uranus;-16.2979;-8.86504;0.178219
neptune;-7.33613;-29.4681;0.774895
sun;0.0122457;0.000229245;-0.000272063
jupiter;-5.02105;-2.17392;0.121229
saturn;5.29488;7.42035;-0.338937
uranus;-11.7724;-14.6412;0.0983337
neptune;-1.71313;-30.2704;0.662026
sun;0.00507739;-0.0012038;-0.000157236
jupiter;4.93358;-0.601551;-0.107553
saturn;-4.85798;7.68777;0.0624668
uranus;-5.50942;-18.2702;0.00388513
neptune;3.97042;-30.0031;0.52576
sun;0.0150099;-0.00181208;-0.000433218
jupiter;-4.69528;2.63165;0.0934787
saturn;-9.51775;-1.06023;0.398873
uranus;1.53663;-19.3356;-0.0912428
neptune;9.51289;-28.6697;0.370801
sun;0.00666589;0.00737016;-0.000290759
jupiter;1.92492;-4.80512;-0.0225479
saturn;-4.42444;-8.99956;0.33106
uranus;8.38567;-17.8107;-0.174263
neptune;14.7152;-26.3113;0.202573
sun;0.00574776;-0.00250567;-0.000181526
jupiter;-0.390443;5.12682;-0.0132093
saturn;4.79517;-8.80296;-0.04131
uranus;14.1651;-13.9989;-0.234984
neptune;19.3881;-23.0063;0.0270452
sun;0.00651987;0.00388512;-0.000171904
jupiter;-3.0184;-4.49212;0.0864303
saturn;9.5408;-0.62564;-0.371105
uranus;18.1909;-8.44822;-0.266588
neptune;23.359;-18.8683;-0.149474
sun;0.000860794;-0.00592176;2.81972e-06
jupiter;4.17641;2.66057;-0.104454
saturn;4.46681;7.91533;-0.314049
uranus;20.0084;-1.86948;-0.265854
neptune;26.4796;-14.0433;-0.32056
sun;0.012866;-0.00341083;-0.000327061
jupiter;-5.45611;-0.343998;0.122946
saturn;-5.65208;7.16572;0.104083
uranus;19.4103;4.93452;-0.233045
neptune;28.631;-8.70437;-0.479916
sun;0.00469363;0.000772603;-0.000211596
jupiter;4.31089;-2.5839;-0.0851028
saturn;-9.43075;-1.95321;0.411219
uranus;16.4459;11.1337;-0.171853
neptune;29.7297;-3.04541;-0.621625
sun;0.0106374;-0.00395581;-0.000316412
jupiter;-3.41311;4.05942;0.0585955
saturn;-3.65926;-9.37427;0.306726
uranus;11.4287;15.9364;-0.0892558
neptune;29.7313;2.72584;-0.740395
sun;0.00510484;0.00426031;-0.00017165
jupiter;-0.00524077;-5.27477;0.0225965
saturn;5.50144;-8.37825;-0.077312
uranus;4.9347;18.6675;0.00480525
neptune;28.633;8.39613;-0.831771
sun;0.00285576;-0.00808626;-9.73e-06
jupiter;1.58866;4.78982;-0.0558388
saturn;9.52713;0.200022;-0.385069
uranus;-2.22078;18.8623;0.0980835
neptune;26.4739;13.7552;-0.892331
sun;0.010717;-0.00289551;-0.000199583
jupiter;-4.41575;-3.21303;0.112128
saturn;3.69158;8.27752;-0.289094
uranus;-9.05097;16.372;0.177269
neptune;23.3338;18.6042;-0.919822
sun;0.00513199;-0.00617432;-0.000110871
jupiter;4.89818;0.721026;-0.112208
saturn;-6.32111;6.60979;0.140598
uranus;-14.5272;11.4498;0.229978
neptune;19.3298;22.7644;-0.913261
sun;0.0160017;-0.00413835;-0.00040468
jupiter;-5.20233;1.52509;0.10929
saturn;-9.26437;-2.7752;0.418655
uranus;-17.7656;4.77063;0.247292
neptune;14.612;26.0835;-0.872967
sun;0.00662766;0.00343341;-0.000216477
jupiter;3.01415;-4.13535;-0.049378
saturn;-2.89829;-9.64703;0.280458
uranus;-18.2277;-2.65362;0.225996
neptune;9.35637;28.4422;-0.800536
sun;0.00867589;-0.00549869;-0.0001687
jupiter;-1.64763;4.93424;0.0154726
saturn;6.15256;-7.8595;-0.112959
uranus;-15.8528;-9.66844;0.169513
neptune;3.75787;29.758;-0.69876
sun;0.0080855;0.00167157;-0.000137327
jupiter;-1.9128;-5.01535;0.0641842
saturn;9.40533;1.09514;-0.395743
uranus;-11.0638;-15.2189;0.0871808
neptune;-1.97761;29.9885;-0.571499
sun;0.00496928;-0.00859577;-3.26716e-05
jupiter;3.34258;3.68794;-0.0902162
saturn;2.79443;8.60495;-0.258279
uranus;-4.64761;-18.5465;-0.00802467
neptune;-7.64127;29.1314;-0.423515
sun;0.0159445;-0.00272792;-0.000366116
jupiter;-5.25572;-1.52842;0.123449
saturn;-6.98926;5.9576;0.179456
uranus;2.42718;-19.2846;-0.102237
neptune;-13.0294;27.2242;-0.260269
sun;0.00688573;-8.165e-05;-0.000227113
jupiter;4.79645;-1.35957;-0.100912
saturn;-9.01996;-3.62304;0.423782
uranus;9.18723;-17.4532;-0.182948
neptune;-17.9508;24.3418;-0.0876994
sun;0.013563;-0.00263057;-0.00035887
jupiter;-4.29794;3.19992;0.0817526
saturn;-2.08607;-9.87959;0.251715
uranus;14.7811;-13.3916;-0.240395
neptune;-22.2332;20.593;0.0879921
sun;0.0057634;0.00450637;-0.000168912
jupiter;1.234;-5.06228;-0.00568378
saturn;6.77475;-7.31655;-0.147575
uranus;18.5527;-7.67362;-0.268192
neptune;-25.7289;16.1155;0.260569
sun;0.00599072;-0.00785883;-8.19488e-05
jupiter;0.327002;5.09397;-0.0292072
saturn;9.24266;1.90974;-0.403356
uranus;20.0774;-1.02485;-0.263527
neptune;-28.3193;11.0708;0.423977
sun;0.0119215;-0.00108385;-0.000261874
jupiter;-3.57975;-4.08629;0.0972398
saturn;1.97012;8.81608;-0.22863
uranus;19.1793;5.74704;-0.227113
neptune;-29.9178;5.63822;0.572538
sun;0.00706824;-0.00586899;-0.000200125
jupiter;4.52674;2.00323;-0.109387
saturn;-7.53266;5.30419;0.212505
uranus;15.9405;11.8143;-0.163019
neptune;-30.4728;0.00883459;0.70113
sun;0.017126;-0.00142216;-0.000488246
jupiter;-5.43943;0.339876;0.119406
saturn;-8.72073;-4.38039;0.424531
uranus;10.7066;16.3955;-0.0785685
neptune;-29.968;-5.62097;0.805339
sun;0.00628113;0.00374196;-0.000254394
jupiter;3.91802;-3.20037;-0.0733247
saturn;-1.30504;-10.0137;0.222032
uranus;4.08412;18.8356;0.015992
neptune;-28.4229;-11.0559;0.881596
sun;0.0104241;-0.00424651;-0.000256859
jupiter;-2.81292;4.45181;0.0432014
saturn;7.32209;-6.6968;-0.180833
uranus;-3.08681;18.7027;0.10822
neptune;-25.8921;-16.1076;0.92728
sun;0.00805592;0.00268087;-0.00019168
jupiter;-0.701682;-5.26573;0.0384025
saturn;8.96318;2.76512;-0.406929
uranus;-9.80639;15.8921;0.184813
neptune;-22.463;-20.6007;0.940796
sun;0.0074896;-0.00796839;-0.000150378
jupiter;2.27676;4.47157;-0.0699945
saturn;1.03948;8.96713;-0.193383
uranus;-15.0523;10.7087;0.233673
neptune;-18.2534;-24.3782;0.921625
sun;0.0167143;0.000529513;-0.000453451
jupiter;-4.78931;-2.6371;0.117728
saturn;-8.05575;4.55467;0.247079
uranus;-17.9723;3.87737;0.246428
neptune;-13.4078;-27.3068;0.87035
sun;0.00721994;0.00124982;-0.000280806
jupiter;4.9568;-0.0369013;-0.110058
saturn;-8.3364;-5.1574;0.422594
uranus;-18.0792;-3.55962;0.220639
neptune;-8.09354;-29.281;0.78865
sun;0.0140287;0.000910914;-0.000407133
jupiter;-4.95467;2.165;0.100569
saturn;-0.472586;-10.1033;0.189914
uranus;-15.3737;-10.4472;0.160564
neptune;-2.49502;-30.2272;0.679259
sun;0.00411522;0.0063888;-0.000153256
jupiter;2.40169;-4.54769;-0.0336637
saturn;7.8406;-6.05639;-0.212879
uranus;-10.3335;-15.7571;0.0760753
neptune;3.19165;-30.1067;0.545888
sun;0.00652117;-0.00547502;-0.000116997
jupiter;-0.962897;5.07956;-0.000668939
saturn;8.65658;3.53611;-0.407766
uranus;-3.77994;-18.776;-0.0196237
neptune;8.76513;-28.9175;0.393132
sun;0.00988121;0.00224333;-0.000249684
jupiter;-2.55689;-4.74721;0.0774016
saturn;0.196617;9.0196;-0.160101
uranus;3.30819;-19.187;-0.112723
neptune;14.0256;-26.6956;0.226331
sun;0.00571783;-0.00407113;-0.000193513
jupiter;3.83624;3.15193;-0.0989898
saturn;-8.46572;3.82675;0.275999
uranus;9.96622;-17.0546;-0.190987
neptune;18.7818;-23.5143;0.0513886
sun;0.0139359;0.00213296;-0.000434967
jupiter;-5.40017;-0.866354;0.1236
saturn;-7.92348;-5.83784;0.417302
uranus;15.3644;-12.7531;-0.245063
