bodyname; position x; position y; position z
sun; 0.0; 0.0; 0.0
jupiter; 4.841431442464721; -1.1603200440274284; -0.10362204447112311
saturn; 8.34336671824458; 4.124798564124305; -0.4035234171143214
uranus; 12.894369562139131; -15.111151401698631; -0.22330757889265573
neptune; 15.379697114850917; -25.919314609987964; 0.17925877295037118
sun; 1.5983797301314377e-07; -3.0187796864957276e-08; -3.730115986360392e-09
jupiter; 4.847339930856543; -1.1321630550460413; -0.10387091638393478
saturn; 8.333218184594687; 4.1430349688596575; -0.40343728476075313
uranus; 12.905190971986693; -15.102456648865521; -0.22341579268383283
neptune; 15.389485801827046; -25.913363875177772; 0.17891118741867673
sun; -7.112980434204405e-06; -6.562444125438185e-05; 4.637581014130294e-07
jupiter; 4.858691558477572; -1.075741255377006; -0.10435868757477049
saturn; 8.312798892511495; 4.179446737346618; -0.40325909488751405
uranus; 12.926814270927164; -15.085044294788643; -0.2236318823295706
neptune; 15.409056508997068; -25.901451174369313; 0.17821593862559929
sun; -5.669423238820548e-06; -6.587687672727767e-05; 4.2999117418349764e-07
jupiter; 4.874551931715876; -0.9908523373812335; -0.10506527492410216
saturn; 8.281864946931014; 4.233910348289239; -0.40297699395153413
uranus; 12.959200341979447; -15.058868715946009; -0.22395517124902034
neptune; 15.438395881219964; -25.883554057476665; 0.1771728718626875
sun; -1.8280733614498374e-05; -0.00019736266662826986; 1.3195600546619056e-06
jupiter; 4.893510804742644; -0.8772263694104525; -0.105960221406245
saturn; 8.24005191255437; 4.306236926996307; -0.4025731944849033
uranus; 13.002290321789827; -15.023861660774958; -0.22438464281652654
neptune; 15.477483831984681; -25.859638880246386; 0.17578175694571208
sun; -1.2637487128522103e-05; -0.00019821673041365296; 1.1870327614821724e-06
jupiter; 4.913673306799016; -0.7345666157208635; -0.10700233098935606
saturn; 8.1868765808737; 4.396167946864299; -0.4020239698859357
uranus; 13.0560053753035; -14.979932470655802; -0.2249189382533984
neptune; 15.526293478689135; -25.82966084128799; 0.17404229046913933
sun; -2.6675495676153512e-05; -0.0003959747671042001; 2.4059766433861488e-06
jupiter; 4.932651039535388; -0.5626046742997783; -0.10813924154129383
saturn; 8.121739422998326; 4.503369526707987; -0.4012996515252906
uranus; 13.120246399176299; -14.926968376767809; -0.2255563538879429
neptune; 15.584791057042919; -25.793564032169147; 0.17195409881740353
sun; -1.1911433680142951e-05; -0.00039770338713435074; 2.057229503121479e-06
jupiter; 4.947555440723817; -0.3611706314081765; -0.1093069864080605
saturn; 8.043927880256525; 4.627425342190265; -0.4003646350016631
uranus; 13.194893649856; -14.864834871961216; -0.22629483769063288
neptune; 15.652935813229115; -25.75128149966108; 0.1695167419278448
sun; -2.1437636600494336e-05; -0.0006617607466114539; 3.4625636017295623e-06
jupiter; 4.9549966611128475; -0.13027808695013404; -0.11042961823106531
saturn; 7.952620524462228; 4.767828199785001; -0.3991773965791723
uranus; 13.279806307973638; -14.793376162634747; -0.2271319853171293
neptune; 15.73067987657998; -25.702735322446152; 0.16672971782015764
sun; 9.399548098467792e-06; -0.0006639776430180547; 2.728452854911937e-06
jupiter; 4.951091782841892; 0.12977535885987795; -0.11141897796019715
saturn; 7.8468923905477785; 4.92397031018609; -0.3976905339513089
uranus; 13.374821965314831; -14.712415696672299; -0.22806503536109896
neptune; 15.817968108673833; -25.647836699355874; 0.16359246787544882
sun; 1.2328630349042673e-05; -0.0009933383998133294; 4.124549466776635e-06
jupiter; 4.931486945173293; 0.41829402150109124; -0.11217471962218116
saturn; 7.725721416413296; 5.0951323481469855; -0.3958508276659594
uranus; 13.479756061382815; -14.621756777741489; -0.22909086436449433
